"","SITE","exp_group","FRACTION","DEPTH","BURN_SEVERITY","TREATMENT","DEPTH_UPPER","DEPTH_LOWER","CONC_MEAN","C_PERC","N_PERC","C_N","mg_ml_bpca","g_kg_bpca_lf","g_PyC_kg_LF_C","per_bpca_carb_lf","carbon_stock","carbon_stock_fraction","MASS_PROPORTION_RECOVERED","decayed_mass_kg","total_input","burn_decayed_mass_kg","wood_input_rate","wood_departure_rate","wood_accumulation_rate","years_to_capacity","years_to_recovery","fire_count","fire_frequency","DEPTH_Plotting"
"18","CH2","H","LF","10-20","control","control",10,20,0.106533354333754,16.98,0.5,33.96,0.0290281619438022,0.00786663188677039,170.95501733688,0.17095501733688,78.108,21.167268,0.271,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"10-20 cm"
"19","CH2","H","BULK","20-30","control","control",20,30,NA,6.87,0.23,29.8695652173913,NA,NA,NA,NA,39.159,NA,NA,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"20-30 cm"
"20","CH2","H","HF","20-30","control","control",20,30,NA,1.75,0.15,11.6666666666667,NA,NA,NA,NA,9.975,7.690725,0.771,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"20-30 cm"
"21","CH2","H","LF","20-30","control","control",20,30,0.184159061551848,14.11,0.45,31.3555555555556,0.0485907814120971,0.00986392862665571,344.371236088569,0.344371236088569,80.427,16.326681,0.203,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"20-30 cm"
"22","CH2","H","BULK","5-10","control","control",5,10,NA,9.46,0.3,31.5333333333333,NA,NA,NA,NA,16.555,NA,NA,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"5-10 cm"
"23","CH2","H","HF","5-10","control","control",5,10,NA,2.78,0.19,14.6315789473684,NA,NA,NA,NA,4.865,3.711995,0.763,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"5-10 cm"
"24","CH2","H","LF","5-10","control","control",5,10,0.112490254131276,22.38,0.64,34.96875,0.0400891853639615,0.0133096095408352,179.129514584278,0.179129514584278,39.165,13.00278,0.332,12.8272156439394,22.2502514946832,9.73156042019784,1.04952996055791,0.390195467090511,0.659334493467397,19.4547923262468,0,5,54.16,"5-10 cm"
"25","CH3","H","BULK","0-5","control","control",0,5,NA,12.1,0.34,35.5882352941176,NA,NA,NA,NA,21.78,NA,NA,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"0-5 cm"
"26","CH3","H","HF","0-5","control","control",0,5,NA,2.87,0.2,14.35,NA,NA,NA,NA,5.166,4.112136,0.796,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"0-5 cm"
"27","CH3","H","LF","0-5","control","control",0,5,0.0943275565975862,31.59,0.79,39.9873417721519,0.026260455622936,0.00777309486438906,83.1290143176196,0.0831290143176196,56.862,16.831152,0.296,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"0-5 cm"
"28","CH3","H","BULK","10-20","control","control",10,20,NA,5.42,0.23,23.5652173913043,NA,NA,NA,NA,31.978,NA,NA,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"10-20 cm"
"29","CH3","H","HF","10-20","control","control",10,20,NA,1.04,0.11,9.45454545454546,NA,NA,NA,NA,6.136,5.252416,0.856,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"10-20 cm"
"30","CH3","H","LF","10-20","control","control",10,20,0.0377306146518839,24.68,0.59,41.8305084745763,0.0110420294562142,0.00120358121072735,44.7408000656977,0.0447408000656977,145.612,15.871708,0.109,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"10-20 cm"
"31","CH3","H","BULK","20-30","control","control",20,30,NA,0.96,0.05,19.2,NA,NA,NA,NA,7.872,NA,NA,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"20-30 cm"
"32","CH3","H","HF","20-30","control","control",20,30,NA,0.54,0.08,6.75,NA,NA,NA,NA,4.428,3.812508,0.861,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"20-30 cm"
"33","CH3","H","LF","20-30","control","control",20,30,0.0656538851092312,30.69,0.62,49.5,0.0193327105739786,0.00210726545256366,62.9935176734394,0.0629935176734394,251.658,27.430722,0.109,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"20-30 cm"
"34","CH3","H","BULK","5-10","control","control",5,10,NA,8.71,0.32,27.21875,NA,NA,NA,NA,13.936,NA,NA,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"5-10 cm"
"35","CH3","H","HF","5-10","control","control",5,10,NA,2.48,0.19,13.0526315789474,NA,NA,NA,NA,3.968,3.416448,0.861,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"5-10 cm"
"36","CH3","H","LF","5-10","control","control",5,10,0.124143950622509,25.52,0.7,36.4571428571429,0.0325239587693238,0.00357763546462562,127.44497950362,0.12744497950362,40.832,4.49152,0.11,0.375666368505859,0.436380309553012,0.375666368505859,0.0911504914658854,0.0105905004657317,0.0805599910001537,4.66318781620944,0,NA,NA,"5-10 cm"
"37","CH4","H","BULK","0-5","control","control",0,5,NA,7.06,0.27,26.1481481481481,NA,NA,NA,NA,12.002,NA,NA,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"0-5 cm"
"38","CH4","H","HF","0-5","control","control",0,5,NA,2.49,0.17,14.6470588235294,NA,NA,NA,NA,4.233,2.908071,0.687,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"0-5 cm"
"39","CH4","H","LF","0-5","control","control",0,5,0.239220272054724,16.82,0.51,32.9803921568627,0.0683291265509066,0.0200204340794156,406.237375451288,0.406237375451288,28.594,8.378042,0.293,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"0-5 cm"
"40","CH4","H","BULK","10-20","control","control",10,20,NA,2.75,0.15,18.3333333333333,NA,NA,NA,NA,13.475,NA,NA,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"10-20 cm"
"41","CH4","H","HF","10-20","control","control",10,20,NA,2,0.17,11.7647058823529,NA,NA,NA,NA,9.8,8.379,0.855,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"10-20 cm"
"42","CH4","H","LF","10-20","control","control",10,20,0.000980464613965277,9.13,0.3,30.4333333333333,0.000253481027395366,3.47269007531652e-05,2.77635298351989,0.00277635298351989,44.737,6.128969,0.137,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"10-20 cm"
"43","CH4","H","BULK","20-30","control","control",20,30,NA,2.68,0.15,17.8666666666667,NA,NA,NA,NA,15.276,NA,NA,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"20-30 cm"
"44","CH4","H","HF","20-30","control","control",20,30,NA,1.59,0.15,10.6,NA,NA,NA,NA,9.063,7.476975,0.825,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"20-30 cm"
"45","CH4","H","LF","20-30","control","control",20,30,4.01384036093535e-05,10.75,0.34,31.6176470588235,1.12527063665135e-05,1.57537889131188e-06,0.104676338293148,0.000104676338293148,61.275,8.5785,0.14,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"20-30 cm"
"46","CH4","H","BULK","5-10","control","control",5,10,NA,5.55,0.23,24.1304347826087,NA,NA,NA,NA,13.5975,NA,NA,3.59243562573562,9.02046316748324,3.59243562573562,0.371162312605931,0.139072824926391,0.23208948767954,15.4786658441675,0,NA,NA,"5-10 cm"
